date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,view_0,view_1,view_2,view_3,view_4,condition_1,condition_2,condition_3,condition_4,condition_5,age_of_house
2014,12.309982108920686,1.7320508075688772,1.0,7.07326971745971,8.639410824140487,1.0,1.9459101490553132,7.07326971745971,0.0,1955,0,98178,7.200424892944957,1,0,0,0,0,0,0,1,0,0,59
2014,13.195613839143922,1.7320508075688772,2.25,7.851661177889265,8.887652690325586,2.0,1.9459101490553132,7.682482446534506,20.0,1951,1991,98125,7.432483807917119,1,0,0,0,0,0,0,1,0,0,63
2015,12.100712129872347,1.4142135623730951,1.0,6.646390514847729,9.210340371976184,1.0,1.791759469228055,6.646390514847729,0.0,1933,0,98028,7.908387159290043,1,0,0,0,0,0,0,1,0,0,82
2014,13.311329476916953,2.0,3.0,7.580699752224563,8.517193191416238,1.0,1.9459101490553132,6.956545443151569,30.166206257996713,1965,0,98136,7.215239978730097,1,0,0,0,0,0,0,0,0,1,49
2015,13.142166004700508,1.7320508075688772,2.0,7.426549072397305,8.997147151515142,1.0,2.0794415416798357,7.426549072397305,0.0,1987,0,98074,7.495541943884256,1,0,0,0,0,0,0,1,0,0,28
2014,14.018451401960965,2.0,4.5,8.597851094433691,11.532041582162458,1.0,2.3978952727983707,8.266164436612492,39.11521443121589,2001,0,98053,8.468002947225466,1,0,0,0,0,0,0,1,0,0,13
2014,12.458774999085929,1.7320508075688772,2.25,7.44716835960004,8.827468112520654,2.0,1.9459101490553132,7.44716835960004,0.0,1995,0,98003,7.71333788887187,1,0,0,0,0,0,0,1,0,0,19
2015,12.583995250631936,1.7320508075688772,1.5,6.966024187106113,9.181014542594355,1.0,1.9459101490553132,6.966024187106113,0.0,1963,0,98198,7.408530566894626,1,0,0,0,0,0,0,1,0,0,52
2015,12.343658308482738,1.7320508075688772,1.0,7.484368643286131,8.918650278126863,1.0,1.9459101490553132,6.956545443151569,27.018512172212592,1960,0,98146,7.484368643286131,1,0,0,0,0,0,0,1,0,0,55
2015,12.685407602204794,1.7320508075688772,2.5,7.5443321080536885,8.788745881938135,2.0,1.9459101490553132,7.5443321080536885,0.0,2003,0,98038,7.779048644925556,1,0,0,0,0,0,0,1,0,0,12
